IMSI,话单数,短信数,语音时长分钟,上网流量MB,上网时长分钟,平均带宽Kbps,对端号码数,流量4G占比,业务线标识,月份数
908240020289031 ,13.50 ,5.00 ,11.85 ,0.20 ,5.75 ,594.29 ,6.50 ,1.00 ,2,2
908240020421843 ,12.80 ,11.20 ,1.67 ,0.09 ,1.06 ,4298.93 ,2.00 ,1.00 ,1,5
908240020631457 ,7.50 ,6.50 ,0.80 ,0.04 ,0.28 ,2167.82 ,1.00 ,1.00 ,1,2
908240020754241 ,115.60 ,15.20 ,25.23 ,4.56 ,2004.47 ,35.94 ,13.25 ,0.45 ,2,5
908240020938013 ,58.60 ,21.80 ,37.40 ,22.83 ,447.36 ,867.12 ,9.67 ,0.80 ,2,5
908240021044875 ,9.25 ,7.00 ,2.09 ,0.29 ,20.43 ,319.28 ,1.50 ,1.00 ,1,4
908240021665271 ,10.33 ,4.67 ,4.95 ,0.03 ,14.95 ,33.97 ,4.00 ,1.00 ,2,3
908240021877479 ,13.83 ,6.33 ,15.39 ,1.14 ,49.62 ,401.03 ,8.33 ,1.00 ,2,6
908240022031147 ,163.60 ,4.33 ,160.46 ,97.66 ,4569.23 ,350.28 ,31.00 ,0.11 ,2,5
908240022227811 ,49.00 ,23.50 ,2.58 ,79.76 ,1950.17 ,714.78 ,2.50 ,1.00 ,2,2
908240022239389 ,322.33 ,22.83 ,54.62 ,1.63 ,22538.52 ,1.26 ,14.83 ,0.24 ,2,6
908240022246761 ,67.50 ,28.50 ,1.45 ,13.78 ,4508.50 ,53.43 ,1.00 ,0.26 ,1,2
908240024018803 ,47.00 ,13.00 ,5.19 ,1.78 ,505.33 ,69.99 ,4.00 ,1.00 ,2,2
908240100368047 ,94.67 ,23.50 ,46.64 ,1.75 ,57.78 ,810.17 ,24.83 ,1.00 ,2,6
908240100729511 ,182.33 ,49.50 ,232.19 ,0.00 ,0.05 ,296.00 ,69.00 ,1.00 ,2,6
908240100751493 ,351.83 ,66.17 ,485.18 ,0.04 ,25.77 ,24.32 ,72.50 ,1.00 ,2,6
908240100791719 ,28.00 ,24.67 ,1.37 ,0.19 ,13.90 ,241.63 ,2.00 ,1.00 ,1,3
908240100955939 ,12.25 ,11.25 ,3.52 ,0.23 ,13.78 ,300.75 ,1.00 ,1.00 ,1,4
908240101094491 ,15.50 ,10.50 ,6.63 ,0.48 ,57.62 ,78.51 ,1.00 ,1.00 ,1,4
908240101119797 ,14.00 ,10.00 ,1.56 ,0.03 ,0.73 ,760.30 ,3.50 ,1.00 ,1,2
908240101211055 ,61.67 ,6.33 ,29.55 ,93.19 ,420.09 ,4783.26 ,3.00 ,0.67 ,2,3
908240101465255 ,21.00 ,16.00 ,3.45 ,0.57 ,138.17 ,72.07 ,1.00 ,1.00 ,1,1
908240101838815 ,37.33 ,21.17 ,30.39 ,0.11 ,17.99 ,211.08 ,3.17 ,1.00 ,2,6
908240121545959 ,12.00 ,9.40 ,1.05 ,0.11 ,0.72 ,1362.29 ,2.25 ,1.00 ,2,5
908240141344513 ,20.75 ,11.25 ,3.00 ,0.00 ,0.12 ,322.00 ,3.50 ,1.00 ,1,4
908240161060977 ,24.17 ,16.33 ,7.69 ,0.00 ,0.08 ,342.60 ,7.00 ,1.00 ,1,6
908240204220247 ,339.17 ,13.83 ,1.50 ,89.49 ,7878.62 ,315.45 ,1.00 ,1.00 ,2,6
908240204310095 ,9.00 ,5.00 ,0.70 ,2.46 ,6.85 ,8596.30 ,1.00 ,0.16 ,1,2
908240204695693 ,5.00 ,1.00 ,3.68 ,0.99 ,13.60 ,2176.19 ,1.50 ,1.00 ,1,4
908240205004955 ,157.00 ,2.00 ,54.87 ,51.13 ,2659.32 ,336.03 ,13.00 ,0.05 ,2,1
908240210433903 ,12.00 ,2.00 ,4.12 ,12.99 ,402.30 ,559.82 ,3.00 ,1.00 ,2,5
908240210619395 ,30.00 ,3.60 ,25.34 ,24.76 ,348.85 ,961.50 ,7.83 ,1.00 ,2,6
908240210904283 ,18.50 ,11.67 ,3.57 ,0.00 ,0.97 ,34.29 ,3.83 ,1.00 ,1,6
908240210986175 ,58.40 ,49.67 ,43.21 ,0.07 ,14.35 ,79.79 ,4.60 ,1.00 ,2,5
908240211279097 ,17.50 ,9.00 ,0.15 ,0.06 ,23.06 ,45.04 ,1.00 ,1.00 ,1,2
908240211352939 ,70.67 ,6.80 ,57.38 ,261.29 ,2981.10 ,1531.77 ,22.20 ,0.19 ,2,6
908240212870691 ,14.50 ,6.75 ,17.27 ,0.13 ,58.23 ,39.08 ,6.33 ,1.00 ,2,4
908240212941389 ,17.20 ,4.33 ,31.92 ,0.10 ,19.68 ,110.19 ,4.50 ,1.00 ,2,5
908240213232077 ,20.67 ,9.33 ,8.66 ,40.06 ,208.97 ,3350.27 ,4.00 ,1.00 ,2,3
908240213441081 ,122.50 ,5.00 ,24.84 ,873.50 ,5924.72 ,3012.13 ,13.00 ,1.00 ,2,4
908240213462419 ,27.20 ,1.67 ,8.62 ,15.64 ,724.99 ,1779.39 ,5.25 ,1.00 ,2,5
908240213545877 ,2.00 ,1.50 ,0.53 ,0.18 ,1.87 ,1677.41 ,1.00 ,1.00 ,1,4
908240213646163 ,26.50 ,3.33 ,8.12 ,3.33 ,131.35 ,672.81 ,5.00 ,1.00 ,1,6
908240214148773 ,13.75 ,6.75 ,0.70 ,0.02 ,32.59 ,5.67 ,1.00 ,1.00 ,1,4
908240214207053 ,2.67 ,2.00 ,0.38 ,0.16 ,5.73 ,487.17 ,1.00 ,1.00 ,1,3
908240214315817 ,9.50 ,1.50 ,7.60 ,0.54 ,26.10 ,1358.69 ,5.20 ,1.00 ,2,6
908240214316967 ,66.75 ,6.50 ,11.34 ,52.32 ,1950.67 ,368.72 ,1.67 ,0.98 ,2,4
908240214570147 ,32.67 ,7.50 ,6.50 ,11.33 ,807.09 ,252.01 ,3.50 ,1.00 ,2,3
908240214780741 ,84.17 ,4.33 ,31.43 ,4.73 ,1143.73 ,91.77 ,12.50 ,1.00 ,2,6
908240214873039 ,13.25 ,11.25 ,0.19 ,0.66 ,4.43 ,2486.65 ,1.00 ,1.00 ,1,4
908240215020125 ,135.33 ,2.00 ,36.70 ,47.73 ,2372.92 ,345.57 ,14.00 ,0.12 ,2,3
908240215066121 ,66.67 ,25.00 ,29.58 ,0.02 ,0.47 ,808.00 ,24.00 ,1.00 ,2,6
908240215071475 ,50.67 ,1.50 ,21.87 ,7.35 ,518.93 ,298.61 ,9.83 ,1.00 ,2,6
908240215129371 ,17.50 ,11.00 ,1.75 ,111.87 ,136.87 ,18549.20 ,1.00 ,1.00 ,2,2
908240215131375 ,87.83 ,15.67 ,10.45 ,82.70 ,1867.89 ,737.05 ,5.00 ,1.00 ,2,6
908240215133017 ,111.00 ,10.40 ,19.07 ,40.45 ,2250.38 ,216.10 ,9.60 ,0.99 ,2,5
908240215141349 ,18.83 ,5.67 ,1.34 ,41.29 ,372.05 ,1170.70 ,2.50 ,1.00 ,1,6
908240215168127 ,294.83 ,19.83 ,84.71 ,23.78 ,2419.17 ,215.40 ,27.50 ,1.00 ,2,6
908240215217585 ,8.00 ,7.00 ,0.91 ,0.02 ,0.30 ,1206.78 ,1.50 ,1.00 ,1,5
908240215298531 ,2.67 ,1.33 ,0.47 ,0.39 ,11.66 ,292.07 ,1.00 ,1.00 ,1,3
908240215307751 ,31.33 ,22.33 ,7.98 ,0.11 ,0.69 ,1069.76 ,3.33 ,1.00 ,1,3
908240215324669 ,25.50 ,13.00 ,22.78 ,0.03 ,12.63 ,48.16 ,8.00 ,1.00 ,2,2
908240215328589 ,155.33 ,10.67 ,44.12 ,131.37 ,5517.73 ,415.18 ,9.67 ,1.00 ,2,3
908240215356081 ,6.33 ,5.00 ,6.19 ,0.00 ,8.17 ,9.51 ,6.00 ,1.00 ,1,6
908240215356283 ,2.17 ,1.67 ,0.20 ,0.58 ,5.48 ,1834.37 ,1.00 ,1.00 ,1,6
908240215391327 ,5.60 ,2.60 ,0.83 ,0.20 ,7.81 ,996.44 ,1.00 ,0.98 ,1,5
908240215393145 ,17.17 ,11.50 ,45.12 ,0.06 ,4.67 ,216.32 ,13.00 ,1.00 ,1,6
908240215405585 ,34.75 ,17.50 ,21.78 ,0.40 ,11.98 ,586.72 ,4.00 ,1.00 ,2,4
908240215441883 ,2.67 ,2.00 ,0.43 ,0.03 ,6.73 ,73.88 ,1.50 ,1.00 ,2,3
908240215463431 ,219.50 ,16.00 ,32.60 ,165.07 ,7790.15 ,425.08 ,12.25 ,1.00 ,2,6
908240215467953 ,22.40 ,4.00 ,1.38 ,1.02 ,516.23 ,1028.56 ,3.00 ,0.01 ,1,5
908240215569403 ,13.40 ,3.40 ,3.98 ,0.45 ,2.25 ,1702.12 ,3.00 ,0.67 ,1,5
908240215571135 ,20.17 ,8.00 ,1.47 ,2.94 ,78.58 ,2675.39 ,2.17 ,1.00 ,1,6
